description;address;area;restrooms;bathrooms;garage;price;price_condo;wlink
Apartamento com 2 Quartos à Venda, 71m²;Rua Cristiano Strobel, 2826 - Alto Boqueirão, Curitiba - PR;71;2;2;2;R$ 468.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-71m2-venda-RS468000-id-2580825504/
Apartamento com 3 Quartos à Venda, 89m²;Rua Monsenhor Ivo Zanlorenzi - Ecoville, Curitiba - PR;89;3;2;1;R$ 660.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ecoville-bairros-curitiba-com-garagem-89m2-venda-RS660000-id-2588199173/
Apartamento com 4 Quartos à Venda, 220m²;Avenida Iguaçu, 2663 - Batel, Curitiba - PR;220;4;5;3;R$ 3.899.000;R$ 2.800;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-220m2-venda-RS3899000-id-2563495299/
Apartamento com 3 Quartos à Venda, 77m²;Rua Nossa Senhora de Nazaré, 615 - Boa Vista, Curitiba - PR;77;3;2;1;R$ 595.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-77m2-venda-RS595000-id-2557155962/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com 2 Quartos à Venda, 212m²;Rua Padre Agostinho, 2545 - Bigorrilho, Curitiba - PR;212;2;4;4;R$ 3.950.000;R$ 3.500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-212m2-venda-RS3950000-id-2569391119/
Apartamento com 4 Quartos à Venda, 156m²;Rua Francisco Rocha, 1777 - Champagnat, Curitiba - PR;156;4;4;3;R$ 848.000;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-4-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS848000-id-2546566617/
Apartamento com 3 Quartos à Venda, 88m²;Avenida Paraná, 1758 - Bacacheri, Curitiba - PR;88;3;2;1;R$ 495.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-88m2-venda-RS495000-id-2571816969/
Apartamento com 3 Quartos à Venda, 126m²;Rua Professora Doracy Cezzarino, 138 - Portão, Curitiba - PR;126;3;5;2;R$ 1.350.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-126m2-venda-RS1350000-id-2574760858/
Apartamento com 3 Quartos à Venda, 67m²;Rua Mário Chalbaud Biscaia, 782 - Novo Mundo, Curitiba - PR;67;3;2;1;R$ 352.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS352000-id-2522878143/
Apartamento com  Quarto à Venda, 33m²;Rua Augusto de Mari, 3994 - Portão, Curitiba - PR;33;1;1;--;R$ 249.900;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-portao-bairros-curitiba-33m2-venda-RS249900-id-2574004274/
Residencial Take Urban Habitat;Avenida Iguaçu, 1212 - Rebouças, Curitiba - PR;51-63;2;2;1;A partir de   R$ 429.900;;https://www.vivareal.com.br/imoveis-lancamento/residencial-take-urban-habitat-2600880857/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.220.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1220000-id-2535740776/
Apartamento com  Quarto à Venda, 20m²;Rua Martim Afonso, 1543 - Bigorrilho, Curitiba - PR;20;1;1;--;R$ 239.900;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bigorrilho-bairros-curitiba-20m2-venda-RS239900-id-2573048607/
Apartamento com 3 Quartos à Venda, 221m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;221;3;4;2;R$ 1.700.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-221m2-venda-RS1700000-id-2556429754/
Apartamento com 2 Quartos à Venda, 82m²;Rua Leão Sallum, 526 - Boa Vista, Curitiba - PR;82;2;2;2;R$ 999.999;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS999999-id-2517262807/
Apartamento com 3 Quartos à Venda, 107m²;Avenida Senador Souza Naves, 290 - Alto da Rua XV, Curitiba - PR;107;3;2;2;R$ 499.000  Preço abaixo do mercado;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-107m2-venda-RS499000-id-2540008874/
Apartamento com 2 Quartos à Venda, 70m²;Rua Percy Feliciano de Castilho, 600 - Bairro Alto, Curitiba - PR;70;2;2;1;R$ 389.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bairro-alto-bairros-curitiba-com-garagem-70m2-venda-RS389000-id-2584241861/
Apartamento com 2 Quartos à Venda, 73m²;Rua Humberto Morona, 27 - Cristo Rei, Curitiba - PR;73;2;2;1;R$ 690.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-73m2-venda-RS690000-id-2587203278/
Apartamento com 3 Quartos à Venda, 164m²;Rua Paulo Gorski, 2165 - Mossunguê, Curitiba - PR;164;3;5;3;R$ 1.950.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-164m2-venda-RS1950000-id-2555448260/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 649.900;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS649900-id-2573328728/
Apartamento com 3 Quartos à Venda, 160m²;Rua Coronel Dulcídio, 1255 - Batel, Curitiba - PR;160;3;5;2;R$ 1.600.000;R$ 2.000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-batel-bairros-curitiba-com-garagem-160m2-venda-RS1600000-id-2526497273/
Apartamento com 2 Quartos à Venda, 96m²;Rua Doutor Raul Carneiro Filho, 371 - Água Verde, Curitiba - PR;96;2;2;1;R$ 650.000;R$ 250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-96m2-venda-RS650000-id-2574501013/
Apartamento com  Quarto à Venda, 12m²;Fazendinha, Curitiba - PR;12;1;1;--;R$ 100.000.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-fazendinha-bairros-curitiba-12m2-venda-RS100000000-id-2570851862/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com 3 Quartos à Venda, 100m²;Avenida Presidente Affonso Camargo, 955 - Cristo Rei, Curitiba - PR;100;3;3;2;R$ 390.000  Preço abaixo do mercado;R$ 770;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-100m2-venda-RS390000-id-2537867877/
Apartamento com 3 Quartos à Venda, 76m²;Avenida São José, 500 - Cristo Rei, Curitiba - PR;76;3;2;1;R$ 345.000  Preço abaixo do mercado;R$ 350;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-76m2-venda-RS345000-id-2546840977/
Apartamento com 3 Quartos à Venda, 105m²;Rua Dom Pedro I, 1071 - Água Verde, Curitiba - PR;105;3;2;1;R$ 580.000;R$ 437;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-105m2-venda-RS580000-id-2559832290/
Apartamento com 3 Quartos à Venda, 58m²;Rua Luiz Leitner, 55 - Bigorrilho, Curitiba - PR;58;3;1;1;R$ 450.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-58m2-venda-RS450000-id-2598197356/
Apartamento com 4 Quartos à Venda, 133m²;Rua João Negrão, 140 - Centro, Curitiba - PR;133;4;3;--;R$ 360.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-133m2-venda-RS360000-id-2522002527/
Apartamento com 3 Quartos à Venda, 128m²;Rua Engenheiro Niepce da Silva, 144 - Portão, Curitiba - PR;128;3;5;2;R$ 1.190.000;R$ 942;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-128m2-venda-RS1190000-id-2493769819/
Apartamento com 2 Quartos à Venda, 65m²;Rua Doutor Alarico Vieira de Alencar, 307 - Bacacheri, Curitiba - PR;65;2;2;1;R$ 425.000;R$ 330;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-65m2-venda-RS425000-id-2540611673/
Apartamento com 3 Quartos à Venda, 57m²;Rua Rezala Simão, 990 - Santa Quitéria, Curitiba - PR;57;3;1;1;R$ 230.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-quiteria-bairros-curitiba-com-garagem-57m2-venda-RS230000-id-2579329002/
Residencial Mont Tannat;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;35-72;1-2;1-3;--;A partir de   R$ 310.850;;https://www.vivareal.com.br/imoveis-lancamento/residencial-mont-tannat-2598031692/
Apartamento com 3 Quartos à Venda, 137m²;Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR;137;3;3;2;R$ 640.000;R$ 525;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-137m2-venda-RS640000-id-2547149340/
Apartamento com 3 Quartos à Venda, 107m²;Rua Visconde do Serro Frio, 46 - Novo Mundo, Curitiba - PR;107;3;2;2;R$ 580.000;R$ 590;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-107m2-venda-RS580000-id-2585922652/
Apartamento com 2 Quartos à Venda, 71m²;Rua Cristiano Strobel, 2826 - Alto Boqueirão, Curitiba - PR;71;2;2;2;R$ 468.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-71m2-venda-RS468000-id-2580825504/
Apartamento com 3 Quartos à Venda, 89m²;Rua Monsenhor Ivo Zanlorenzi - Ecoville, Curitiba - PR;89;3;2;1;R$ 660.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ecoville-bairros-curitiba-com-garagem-89m2-venda-RS660000-id-2588199173/
Apartamento com 4 Quartos à Venda, 220m²;Avenida Iguaçu, 2663 - Batel, Curitiba - PR;220;4;5;3;R$ 3.899.000;R$ 2.800;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-220m2-venda-RS3899000-id-2563495299/
Apartamento com 3 Quartos à Venda, 77m²;Rua Nossa Senhora de Nazaré, 615 - Boa Vista, Curitiba - PR;77;3;2;1;R$ 595.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-77m2-venda-RS595000-id-2557155962/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com 2 Quartos à Venda, 212m²;Rua Padre Agostinho, 2545 - Bigorrilho, Curitiba - PR;212;2;4;4;R$ 3.950.000;R$ 3.500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-212m2-venda-RS3950000-id-2569391119/
Apartamento com 4 Quartos à Venda, 156m²;Rua Francisco Rocha, 1777 - Champagnat, Curitiba - PR;156;4;4;3;R$ 848.000;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-4-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS848000-id-2546566617/
Apartamento com 3 Quartos à Venda, 88m²;Avenida Paraná, 1758 - Bacacheri, Curitiba - PR;88;3;2;1;R$ 495.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-88m2-venda-RS495000-id-2571816969/
Apartamento com 3 Quartos à Venda, 126m²;Rua Professora Doracy Cezzarino, 138 - Portão, Curitiba - PR;126;3;5;2;R$ 1.350.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-126m2-venda-RS1350000-id-2574760858/
Apartamento com 3 Quartos à Venda, 67m²;Rua Mário Chalbaud Biscaia, 782 - Novo Mundo, Curitiba - PR;67;3;2;1;R$ 352.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS352000-id-2522878143/
Apartamento com  Quarto à Venda, 33m²;Rua Augusto de Mari, 3994 - Portão, Curitiba - PR;33;1;1;--;R$ 249.900;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-portao-bairros-curitiba-33m2-venda-RS249900-id-2574004274/
Residencial Take Urban Habitat;Avenida Iguaçu, 1212 - Rebouças, Curitiba - PR;51-63;2;2;1;A partir de   R$ 429.900;;https://www.vivareal.com.br/imoveis-lancamento/residencial-take-urban-habitat-2600880857/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.220.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1220000-id-2535740776/
Apartamento com  Quarto à Venda, 20m²;Rua Martim Afonso, 1543 - Bigorrilho, Curitiba - PR;20;1;1;--;R$ 239.900;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bigorrilho-bairros-curitiba-20m2-venda-RS239900-id-2573048607/
Apartamento com 3 Quartos à Venda, 221m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;221;3;4;2;R$ 1.700.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-221m2-venda-RS1700000-id-2556429754/
Apartamento com 2 Quartos à Venda, 82m²;Rua Leão Sallum, 526 - Boa Vista, Curitiba - PR;82;2;2;2;R$ 999.999;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS999999-id-2517262807/
Apartamento com 3 Quartos à Venda, 107m²;Avenida Senador Souza Naves, 290 - Alto da Rua XV, Curitiba - PR;107;3;2;2;R$ 499.000  Preço abaixo do mercado;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-107m2-venda-RS499000-id-2540008874/
Apartamento com 2 Quartos à Venda, 70m²;Rua Percy Feliciano de Castilho, 600 - Bairro Alto, Curitiba - PR;70;2;2;1;R$ 389.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bairro-alto-bairros-curitiba-com-garagem-70m2-venda-RS389000-id-2584241861/
Apartamento com 2 Quartos à Venda, 73m²;Rua Humberto Morona, 27 - Cristo Rei, Curitiba - PR;73;2;2;1;R$ 690.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-73m2-venda-RS690000-id-2587203278/
Apartamento com 3 Quartos à Venda, 164m²;Rua Paulo Gorski, 2165 - Mossunguê, Curitiba - PR;164;3;5;3;R$ 1.950.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-164m2-venda-RS1950000-id-2555448260/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 649.900;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS649900-id-2573328728/
Apartamento com 3 Quartos à Venda, 160m²;Rua Coronel Dulcídio, 1255 - Batel, Curitiba - PR;160;3;5;2;R$ 1.600.000;R$ 2.000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-batel-bairros-curitiba-com-garagem-160m2-venda-RS1600000-id-2526497273/
Apartamento com 2 Quartos à Venda, 96m²;Rua Doutor Raul Carneiro Filho, 371 - Água Verde, Curitiba - PR;96;2;2;1;R$ 650.000;R$ 250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-96m2-venda-RS650000-id-2574501013/
Apartamento com  Quarto à Venda, 12m²;Fazendinha, Curitiba - PR;12;1;1;--;R$ 100.000.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-fazendinha-bairros-curitiba-12m2-venda-RS100000000-id-2570851862/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com 3 Quartos à Venda, 100m²;Avenida Presidente Affonso Camargo, 955 - Cristo Rei, Curitiba - PR;100;3;3;2;R$ 390.000  Preço abaixo do mercado;R$ 770;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-100m2-venda-RS390000-id-2537867877/
Apartamento com 3 Quartos à Venda, 76m²;Avenida São José, 500 - Cristo Rei, Curitiba - PR;76;3;2;1;R$ 345.000  Preço abaixo do mercado;R$ 350;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-76m2-venda-RS345000-id-2546840977/
Apartamento com 3 Quartos à Venda, 105m²;Rua Dom Pedro I, 1071 - Água Verde, Curitiba - PR;105;3;2;1;R$ 580.000;R$ 437;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-105m2-venda-RS580000-id-2559832290/
Apartamento com 3 Quartos à Venda, 58m²;Rua Luiz Leitner, 55 - Bigorrilho, Curitiba - PR;58;3;1;1;R$ 450.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-58m2-venda-RS450000-id-2598197356/
Apartamento com 4 Quartos à Venda, 133m²;Rua João Negrão, 140 - Centro, Curitiba - PR;133;4;3;--;R$ 360.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-133m2-venda-RS360000-id-2522002527/
Apartamento com 3 Quartos à Venda, 128m²;Rua Engenheiro Niepce da Silva, 144 - Portão, Curitiba - PR;128;3;5;2;R$ 1.190.000;R$ 942;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-128m2-venda-RS1190000-id-2493769819/
Apartamento com 2 Quartos à Venda, 65m²;Rua Doutor Alarico Vieira de Alencar, 307 - Bacacheri, Curitiba - PR;65;2;2;1;R$ 425.000;R$ 330;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-65m2-venda-RS425000-id-2540611673/
Apartamento com 3 Quartos à Venda, 57m²;Rua Rezala Simão, 990 - Santa Quitéria, Curitiba - PR;57;3;1;1;R$ 230.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-quiteria-bairros-curitiba-com-garagem-57m2-venda-RS230000-id-2579329002/
Residencial Mont Tannat;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;35-72;1-2;1-3;--;A partir de   R$ 310.850;;https://www.vivareal.com.br/imoveis-lancamento/residencial-mont-tannat-2598031692/
Apartamento com 3 Quartos à Venda, 137m²;Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR;137;3;3;2;R$ 640.000;R$ 525;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-137m2-venda-RS640000-id-2547149340/
Apartamento com 3 Quartos à Venda, 107m²;Rua Visconde do Serro Frio, 46 - Novo Mundo, Curitiba - PR;107;3;2;2;R$ 580.000;R$ 590;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-107m2-venda-RS580000-id-2585922652/
Apartamento com 2 Quartos à Venda, 71m²;Rua Cristiano Strobel, 2826 - Alto Boqueirão, Curitiba - PR;71;2;2;2;R$ 468.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-71m2-venda-RS468000-id-2580825504/
Apartamento com 3 Quartos à Venda, 89m²;Rua Monsenhor Ivo Zanlorenzi - Ecoville, Curitiba - PR;89;3;2;1;R$ 660.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ecoville-bairros-curitiba-com-garagem-89m2-venda-RS660000-id-2588199173/
Apartamento com 4 Quartos à Venda, 220m²;Avenida Iguaçu, 2663 - Batel, Curitiba - PR;220;4;5;3;R$ 3.899.000;R$ 2.800;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-220m2-venda-RS3899000-id-2563495299/
Apartamento com 3 Quartos à Venda, 77m²;Rua Nossa Senhora de Nazaré, 615 - Boa Vista, Curitiba - PR;77;3;2;1;R$ 595.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-77m2-venda-RS595000-id-2557155962/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com 2 Quartos à Venda, 212m²;Rua Padre Agostinho, 2545 - Bigorrilho, Curitiba - PR;212;2;4;4;R$ 3.950.000;R$ 3.500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-212m2-venda-RS3950000-id-2569391119/
Apartamento com 4 Quartos à Venda, 156m²;Rua Francisco Rocha, 1777 - Champagnat, Curitiba - PR;156;4;4;3;R$ 848.000;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-4-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS848000-id-2546566617/
Apartamento com 3 Quartos à Venda, 88m²;Avenida Paraná, 1758 - Bacacheri, Curitiba - PR;88;3;2;1;R$ 495.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-88m2-venda-RS495000-id-2571816969/
Apartamento com 3 Quartos à Venda, 126m²;Rua Professora Doracy Cezzarino, 138 - Portão, Curitiba - PR;126;3;5;2;R$ 1.350.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-126m2-venda-RS1350000-id-2574760858/
Apartamento com 3 Quartos à Venda, 67m²;Rua Mário Chalbaud Biscaia, 782 - Novo Mundo, Curitiba - PR;67;3;2;1;R$ 352.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS352000-id-2522878143/
Apartamento com  Quarto à Venda, 33m²;Rua Augusto de Mari, 3994 - Portão, Curitiba - PR;33;1;1;--;R$ 249.900;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-portao-bairros-curitiba-33m2-venda-RS249900-id-2574004274/
Residencial Take Urban Habitat;Avenida Iguaçu, 1212 - Rebouças, Curitiba - PR;51-63;2;2;1;A partir de   R$ 429.900;;https://www.vivareal.com.br/imoveis-lancamento/residencial-take-urban-habitat-2600880857/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.220.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1220000-id-2535740776/
Apartamento com  Quarto à Venda, 20m²;Rua Martim Afonso, 1543 - Bigorrilho, Curitiba - PR;20;1;1;--;R$ 239.900;R$ 350;https://www.vivareal.com.br/imovel/apartamento-1-quartos-bigorrilho-bairros-curitiba-20m2-venda-RS239900-id-2573048607/
Apartamento com 3 Quartos à Venda, 221m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;221;3;4;2;R$ 1.700.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-221m2-venda-RS1700000-id-2556429754/
Apartamento com 2 Quartos à Venda, 82m²;Rua Leão Sallum, 526 - Boa Vista, Curitiba - PR;82;2;2;2;R$ 999.999;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS999999-id-2517262807/
Apartamento com 3 Quartos à Venda, 107m²;Avenida Senador Souza Naves, 290 - Alto da Rua XV, Curitiba - PR;107;3;2;2;R$ 499.000  Preço abaixo do mercado;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-107m2-venda-RS499000-id-2540008874/
Apartamento com 2 Quartos à Venda, 70m²;Rua Percy Feliciano de Castilho, 600 - Bairro Alto, Curitiba - PR;70;2;2;1;R$ 389.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bairro-alto-bairros-curitiba-com-garagem-70m2-venda-RS389000-id-2584241861/
Apartamento com 2 Quartos à Venda, 73m²;Rua Humberto Morona, 27 - Cristo Rei, Curitiba - PR;73;2;2;1;R$ 690.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-73m2-venda-RS690000-id-2587203278/
Apartamento com 3 Quartos à Venda, 164m²;Rua Paulo Gorski, 2165 - Mossunguê, Curitiba - PR;164;3;5;3;R$ 1.950.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-164m2-venda-RS1950000-id-2555448260/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 649.900;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS649900-id-2573328728/
Apartamento com 3 Quartos à Venda, 160m²;Rua Coronel Dulcídio, 1255 - Batel, Curitiba - PR;160;3;5;2;R$ 1.600.000;R$ 2.000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-batel-bairros-curitiba-com-garagem-160m2-venda-RS1600000-id-2526497273/
Apartamento com 2 Quartos à Venda, 96m²;Rua Doutor Raul Carneiro Filho, 371 - Água Verde, Curitiba - PR;96;2;2;1;R$ 650.000;R$ 250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-96m2-venda-RS650000-id-2574501013/
Apartamento com  Quarto à Venda, 12m²;Fazendinha, Curitiba - PR;12;1;1;--;R$ 100.000.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-fazendinha-bairros-curitiba-12m2-venda-RS100000000-id-2570851862/
